size_label,size_bytes,trials,avg_time_s,std_time_s,min_time_s,max_time_s,success_rate
1K,1024,3,0.09808893000202563,0.017789390986899987,0.08667180000338703,0.11858598000253551,1.0
10K,10240,3,0.09142580999953982,0.0005481676825895627,0.09082458000193583,0.09189783000329044,1.0
100K,102400,3,0.11810273999920658,0.0070183680834239,0.1104887699984829,0.1243134899996221,1.0
1M,1048576,3,0.34407683999840327,0.03786961141499538,0.3042315900020185,0.37959992999822134,1.0
5M,5242880,3,1.4586671400005191,0.05400297996792487,1.416834720002953,1.5196315499997581,1.0
10M,10485760,3,2.43208838999999,0.039938149269314986,2.389260240001022,2.4683135400046012,1.0
