size_bytes,trials,avg_s,std_s,min_s,max_s,ok
1000,3,0.08662535999853087,0.0006697774091422555,0.08581014000083087,0.08745065999391954,0
10000,3,0.08604503999958979,0.0004268717004711951,0.08545041000616038,0.08643257999938214,0
100000,3,0.08726946000145593,0.000940805950848416,0.08652987000095891,0.08859708000090905,0
1000000,3,0.08751456000269779,0.0008003721052604414,0.08662742999877082,0.08856693000416271,0
5000000,3,0.08678528999977668,0.001140631190399996,0.08533277999958955,0.08811917999992147,0
10000000,3,0.08775092999955329,0.0017369127114634276,0.0860987699998077,0.09015119999821763,0
20000000,3,0.08666219999819684,0.000512469684988599,0.08618849999766098,0.08737406999716768,0
50000000,3,0.08734818000084488,0.0015154754509720295,0.08608824000111781,0.08947962000092957,0
100000000,3,0.0856313700035874,0.0012916727130403078,0.08428581000043778,0.08737407000444364,0
200000000,3,0.08518206000250454,0.00019968551103367635,0.08490474000427639,0.08536689000175102,0
500000000,3,0.08510774999983066,0.00021748504854264474,0.08492057999683311,0.08541269999841461,0
1000000000,3,0.08534409000276355,0.00045174840319702744,0.0848359800002072,0.08593353000469506,0
